,count,mean,std,min,25%,50%,75%,max,range,variance
mfcc_s3_1_std,1489.0,24.659383552795536,36.95356896956723,0.0,0.0,6.1035156e-05,43.42805,184.59126,184.59126,1365.566259588562
mfcc_s3_2_mean,1489.0,19.43617110340114,33.271104839786524,-72.3817,0.0,0.0,38.64959,124.09225,196.47395,1106.9664172600662
mfcc_s3_2_std,1489.0,8.03795869806783,11.648052416259189,0.0,0.0,0.0,13.821519,59.081356,59.081356,135.6771250919215
mfcc_s3_3_mean,1489.0,-7.398881323184821,17.268235569341506,-92.938126,-9.3527355,0.0,0.0,70.917786,163.855912,298.1919596782712
mfcc_s3_3_std,1489.0,6.22687568970047,8.963017079520467,0.0,0.0,0.0,10.576186,51.41613,51.41613,80.3356751677756
mfcc_s3_4_mean,1489.0,1.403073061893284,9.925095202899191,-43.722443,0.0,0.0,0.92981136,58.02481,101.747253,98.50751478661253
mfcc_s3_4_std,1489.0,3.7583752888576227,5.049930816475719,0.0,0.0,0.0,6.836876,29.999811,29.999811,25.50180125119112
mfcc_s3_5_mean,1489.0,-2.1458613566183344,7.399461066604118,-44.55782,-1.9743955,0.0,0.0,24.459604,69.017424,54.75202407619015
mfcc_s3_5_std,1489.0,3.11984233125319,4.191169902705155,0.0,0.0,0.0,5.6597896,22.513533,22.513533,17.565905153341543
mfcc_s3_6_mean,1489.0,0.5107405872162525,6.434001330723052,-37.015663,0.0,0.0,0.5100849,33.853603,70.86926600000001,41.396373123746
mfcc_s3_6_std,1489.0,2.802289987473473,3.6523572751507807,0.0,0.0,0.0,5.3533607,19.870014,19.870014,13.339713665346837
mfcc_s3_7_mean,1489.0,-0.6423296790326394,5.924242309020675,-38.984848,0.0,0.0,0.0,25.314846,64.299694,35.09664693599062
mfcc_s3_7_std,1489.0,2.6434778125251848,3.4671988585829667,0.0,0.0,0.0,5.049261,22.840527,22.840527,12.021467924959028
mfcc_s3_8_mean,1489.0,0.16590722656803225,5.57337892719799,-27.961746,0.0,0.0,0.21504506,32.74781,60.709556000000006,31.062552666134618
mfcc_s3_8_std,1489.0,2.511039427663533,3.2864857449918534,0.0,0.0,0.0,4.6964784,21.434633,21.434633,10.800988552034656
mfcc_s3_9_mean,1489.0,-0.32550993151132573,4.306575792081346,-26.36978,-1.2979903e-05,0.0,1.2979903e-05,21.875734,48.245514,18.54659505294107
mfcc_s3_9_std,1489.0,2.3647731293251586,3.1207988835704574,0.0,0.0,9.094947e-13,4.429095,21.463835,21.463835,9.739385671694613
mfcc_s3_10_mean,1489.0,0.10984870383082601,3.9169579219578123,-18.005209,0.0,0.0,0.0,26.389145,44.394354,15.342559362388062
mfcc_s3_10_std,1489.0,2.260510622200806,3.023110807985313,0.0,0.0,0.0,4.3005066,20.907337,20.907337,9.139198957357612
mfcc_s3_11_mean,1489.0,0.2934499679548018,3.534809452261076,-17.18392,0.0,0.0,0.08812974,17.506746,34.690666,12.494877863794247
mfcc_s3_11_std,1489.0,2.2346085964231026,3.0952887409663465,0.0,0.0,0.0,4.0472636,25.298712,25.298712,9.58081238995303
mfcc_s3_12_mean,1489.0,-0.013671479341840152,4.535041564947506,-32.056725,0.0,0.0,0.0,22.269924,54.326649,20.566601995801527
mfcc_s3_12_std,1489.0,2.248092059254533,3.123926675046966,0.0,0.0,0.0,4.0384593,21.939928,21.939928,9.758917871069992
mfcc_s3_13_mean,1489.0,0.3962935986119073,3.874229183036883,-20.994133,0.0,0.0,0.20713983,32.46687,53.461003000000005,15.009651762694634
mfcc_s3_13_std,1489.0,2.1086989802787106,2.911193511811925,0.0,0.0,0.0,3.8071868,18.9431,18.9431,8.47504766321585
